,customer_name,customer_email,country,gender,age,annual_salary,credit_card_debt,net_worth,car_purchase_amount,customer_email_suffix,region,population,area_sq_mi,pop_density_per_sq_mi,coastline_coastarea_ratio,net_migration,infant_mortality_per_1000_births,gdp__per_capita,literacy_,phones_per_1000,arable_,crops_,other_,climate,birthrate,deathrate,agriculture,industry,service
10,Akeem Gibson,turpis.egestas.Fusce@purus.edu,Greenland,1,53.18015845,55421.65733,10014.96929,293862.5123,42288.81046,.edu,NORTHERN AMERICA                   ,56361,2166086,0.0,2.04,-8.37,15.82,20000.0,0.0,448.9,0.0,0.0,100.0,1.0,15.93,7.84,0.0,0.0,0.0
11,Quin Smith,nulla@ipsum.edu,Nicaragua,0,44.3964937,37336.3383,10218.32092,430907.1673,28700.0334,.edu,LATIN AMER. & CARIB    ,5570129,129494,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,2.0,24.51,4.45,0.165,0.275,0.56
12,Sharon Sharpe,eget.metus@aaliquetvel.co.uk,United Arab Emirates,0,55.24486604,72776.00382,10597.63814,146344.8965,49510.03356,.co.uk,NEAR EAST                          ,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,1.0,18.96,4.4,0.04,0.585,0.375
13,Thomas Williams,aliquet.molestie@ut.org,Gabon,1,53.28976788,64662.30061,11326.03434,481433.4324,53017.26723,.org,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,0.061,0.592,0.348
14,Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,Portugal,1,48.12708462,52682.06401,12514.52029,549443.5886,43901.71244,.org,WESTERN EUROPE                     ,10605870,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,3.0,10.72,10.5,0.053,0.274,0.673
15,Sloane Mann,at.augue@augue.net,Chad,1,51.85347374,54503.14423,7377.820914,431098.9998,44633.99241,.net,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,2.0,45.73,16.38,0.335,0.259,0.406
16,Athena Wolf,volutpat.Nulla.facilisis@primis.ca,Iraq,0,58.74184223,55368.23716,13272.94647,566022.1306,54827.52403,.ca,NEAR EAST                          ,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.666,0.261
17,Blythe Romero,Sed.eu@risusNuncac.co.uk,Sudan,1,51.90047138,63435.86304,11878.03779,480588.2345,51130.95379,.co.uk,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,0.387,0.203,0.41
18,Zelenia Byers,auctor.non@sapien.co.uk,Angola,0,48.08111958,64347.34531,10905.36628,307226.0977,43402.31525,.co.uk,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,0.0,45.11,24.2,0.096,0.658,0.246
19,Nola Wiggins,Aliquam@augue.edu,Nigeria,1,45.53184183,65176.69055,7698.552234,497526.4566,47240.86004,.edu,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
20,Micah Wheeler,arcu.eu@tincidunt.org,Madagascar,1,47.02228427,52027.63837,11960.85377,688466.0503,46635.49432,.org,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.559
21,Caryn Hendrix,condimentum.Donec@duiCum.com,Macedonia,0,39.94299532,69612.0123,8125.598993,499086.3442,45078.40193,.com,EASTERN EUROPE                     ,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,0.0,260.0,22.26,1.81,75.93,3.0,12.02,8.77,0.118,0.319,0.563
22,Hedda Miranda,scelerisque@magnased.com,Oman,0,52.57744084,53065.57175,17805.57607,429440.3297,44387.58412,.com,NEAR EAST                          ,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,1.0,36.24,3.81,0.027,0.39,0.583
23,Ulric Lynn,sociis@vulputateveliteu.com,Colombia,0,28.0096755,82842.53385,13102.15805,315775.3207,37161.55393,.com,LATIN AMER. & CARIB    ,43593035,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,0.125,0.342,0.533
24,Alma Pope,Nunc.mauris.Morbi@turpis.org,Namibia,0,55.63031699,61388.62709,14270.00731,341691.9337,49091.97185,.org,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,1.0,24.32,18.86,0.097,0.315,0.588
25,Gemma Hendrix,lobortis@non.co.uk,Denmark,1,46.12403587,100000.0,17452.92179,188032.0778,58350.31809,.co.uk,WESTERN EUROPE                     ,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,3.0,11.13,10.36,0.018,0.246,0.735
26,Castor Wood,velit.Pellentesque@Nulla.net,Dominican Republic,1,40.24532734,62891.86556,12522.94052,583230.976,43994.35972,.net,LATIN AMER. & CARIB    ,9183984,48730,188.5,2.64,-3.22,32.38,6000.0,84.7,97.4,22.65,10.33,67.02,2.0,23.22,5.73,0.112,0.306,0.582
27,Herman Stevenson,sociosqu.ad.litora@erat.com,Costa Rica,1,33.48313022,39627.1248,9371.511071,319837.6593,17584.56963,.com,LATIN AMER. & CARIB    ,4075261,51100,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,2.0,18.32,4.36,0.088,0.299,0.614
28,Adrienne Bolton,dictum@magnaPraesent.ca,Botswana,1,40.38546326,68859.56489,13417.02027,486069.073,44650.36073,.ca,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,1.0,23.08,29.5,0.024,0.469,0.507
29,Keane Browning,Curabitur@acipsumPhasellus.co.uk,France,0,51.4805088,67904.39895,11417.30952,487435.964,53489.46214,.co.uk,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022,0.214,0.764
30,Quon Hull,nascetur.ridiculus.mus@dignissim.co.uk,Senegal,0,46.31841716,65311.68225,7988.753685,215673.5384,39810.34817,.co.uk,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2.0,32.78,9.42,0.172,0.209,0.619
31,Coby Charles,nec@dolornonummyac.com,Cambodia,0,50.50341115,59593.2624,12252.73058,612242.7755,51612.14311,.com,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
32,Amery Cortez,semper.et.lacinia@Morbiquisurna.ca,Suriname,1,49.85387098,47460.54809,7405.534271,430624.8142,38978.67458,.ca,LATIN AMER. & CARIB    ,439117,163270,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,2.0,18.02,7.27,0.13,0.22,0.65
33,Uriel Bradshaw,ultrices@Integersemelit.com,Turkey,1,22.00038672,43131.78411,10917.14094,326742.7352,10092.22509,.com,NEAR EAST                          ,70413958,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.97,0.117,0.298,0.585
34,Fredericka Sanders,Curabitur@Infaucibus.ca,Ethiopia,0,50.51602163,52263.69806,8838.759509,213040.9606,35928.52404,.ca,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,2.0,37.98,14.86,0.475,0.099,0.426
35,Christopher Stevens,blandit.enim@lacusvariuset.org,French Guiana,1,48.04729589,80959.5331,4499.921096,379749.9152,54823.19221,.org,LATIN AMER. & CARIB    ,199509,91000,2.2,0.42,6.27,12.07,8300.0,83.0,255.6,0.14,0.05,99.81,2.0,20.46,4.88,0.066,0.156,0.778
36,Rachel Ashley,tincidunt.tempus.risus@posuerecubiliaCurae.co.uk,Turkey,0,42.44978638,66417.66597,9183.327621,513340.0097,45805.67186,.co.uk,NEAR EAST                          ,70413958,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.97,0.117,0.298,0.585
37,Lael Wright,a@consequatpurusMaecenas.com,Bhutan,1,46.26908486,58457.41492,12491.01273,410655.9947,41567.47033,.com,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
38,Ryder Shaffer,Phasellus.dapibus.quam@inhendrerit.ca,Georgia,0,37.58459582,50571.45969,13338.32852,348833.8403,28031.20985,.ca,C.W. OF IND. STATES ,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.553
39,Eric Noel,lacinia.at.iaculis@Fuscefermentumfermentum.edu,Mozambique,1,38.7730024,50943.16256,10816.8855,299734.1278,27815.73813,.edu,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,0.262,0.348,0.39
40,Tamara Guy,nec.eleifend@orci.org,Nauru,1,61.22413159,79792.13096,14245.53319,497950.2933,68678.4352,.org,OCEANIA                            ,13287,21,632.7,142.86,0.0,9.95,5000.0,0.0,143.0,0.0,0.0,100.0,2.0,24.76,6.7,0.0,0.0,0.0
41,Lee Taylor,Vivamus.nisi.Mauris@miAliquam.co.uk,Djibouti,1,42.22589031,56098.50773,11675.28496,320228.6451,34215.7615,.co.uk,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596
42,Kenneth Pope,vitae.sodales.at@molestiearcuSed.org,Argentina,0,51.16813904,57478.37922,2230.096344,158979.7102,37843.46619,.org,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547
43,Reese Vance,egestas@malesuadavelvenenatis.com,Taiwan,1,41.44430677,60181.40633,7094.896557,390312.1715,37883.24231,.com,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018,0.259,0.723
44,Leilani Gross,dignissim@mollisDuissit.org,Samoa,0,55.78242299,64616.6881,12378.54089,779925.7892,63738.39065,.org,OCEANIA                            ,176908,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,0.114,0.584,0.302
45,Morgan William,sociis.natoque.penatibus@uterat.ca,Vanuatu,0,46.23366001,68107.93144,7813.602657,455609.1429,48266.75516,.ca,OCEANIA                            ,208869,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26,0.12,0.62
46,Francesca Cervantes,leo@sitametdapibus.edu,Mongolia,1,36.67318264,72471.81532,11216.88676,583523.0762,46381.13111,.edu,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,1.0,21.59,6.95,0.206,0.214,0.58
47,Rafael Peterson,lectus.a.sollicitudin@tortorat.net,Sri Lanka,1,52.46564908,35069.41886,1851.979839,353757.5057,31978.9799,.net,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.52,0.178,0.276,0.545
48,Roanna Knox,dolor.nonummy@metusurnaconvallis.net,Guinea-Bissau,0,57.12191756,52422.94691,6998.46562,438067.7506,48100.29052,.net,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,2.0,37.22,16.53,0.62,0.12,0.26
49,Marny Vargas,nonummy.Fusce.fermentum@ligula.org,Egypt,1,33.81629802,84467.78988,7772.444847,468238.7915,47380.91224,.org,NORTHERN AFRICA                    ,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,1.0,22.94,5.23,0.149,0.357,0.493
50,Charlotte Waller,odio@Nuncac.org,Slovenia,1,43.03088068,51419.50777,11331.20447,636407.1148,41425.00116,.org,EASTERN EUROPE                     ,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,0.0,8.98,10.31,0.028,0.369,0.603
51,Dorian Hernandez,conubia.nostra.per@diam.co.uk,Benin,1,50.16597776,46609.51626,7592.019748,409419.5797,38147.81018,.co.uk,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.316,0.138,0.546
52,Armando Hensley,Class.aptent@torquentper.com,Cape Verde,1,42.24181684,55207.45679,9976.434857,286062.5162,32737.80177,.com,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,3.0,24.87,6.55,0.121,0.219,0.66
53,Rowan Kidd,sapien.Aenean.massa@adipiscing.ca,Paraguay,1,42.05808927,46689.4159,7829.565502,615765.9289,37348.13737,.ca,LATIN AMER. & CARIB    ,6506464,406750,16.0,0.0,-0.08,25.63,4700.0,94.0,49.2,7.6,0.23,92.17,2.0,29.1,4.49,0.224,0.207,0.569
54,Gwendolyn Rice,Duis@metusIn.com,Laos,0,42.09853578,71847.2544,4225.328117,476088.3996,47483.85316,.com,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
55,Gareth Morris,est.Nunc.laoreet@nullavulputatedui.edu,Iceland,0,54.55868922,69236.68608,9842.842611,242495.9886,49730.53339,.edu,WESTERN EUROPE                     ,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765
56,Sawyer Carney,erat.Sed@Phasellus.ca,Iceland,0,53.15575545,54006.77851,15189.08845,246321.8916,40093.61981,.ca,WESTERN EUROPE                     ,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765
57,Raya Shields,tincidunt.aliquam@orciluctuset.com,Vietnam,0,53.05769018,47228.35999,9046.182396,456634.2073,42297.5062,.com,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381
58,Olga Serrano,risus@urnasuscipitnonummy.edu,Marshall Islands,0,43.29935025,70187.50328,6841.540577,662176.4851,52954.93121,.edu,OCEANIA                            ,60422,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,2.0,33.05,4.78,0.317,0.149,0.534
59,Yuli Craig,lobortis.quis.pede@Seddiam.com,Germany,0,55.27030631,62262.94845,11785.87919,301026.2206,48104.11184,.com,WESTERN EUROPE                     ,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695
60,Lev Kramer,eu.odio@tristique.org,Kyrgyzstan,1,42.69528911,59195.82899,8634.376791,573054.3808,43680.91327,.org,C.W. OF IND. STATES ,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
61,Nissim Acosta,enim@at.net,Mauritius,1,57.34721558,48716.67271,10886.91711,662382.6623,52707.96816,.net,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.059,0.298,0.643
62,Marvin Becker,congue.elit@vestibulumneceuismod.ca,Reunion,0,56.2157522,57393.82872,5627.803654,411831.0371,49373.37555,.ca,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,8.22,0.0,7.78,5800.0,88.9,380.9,13.6,1.2,85.2,2.0,18.9,5.49,0.08,0.19,0.73
63,Davis Scott,neque@variusultricesmauris.edu,Jordan,0,40.91485207,63429.93141,10676.21884,481335.3582,41903.65171,.edu,NEAR EAST                          ,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68
64,Matthew Colon,facilisis@Nullainterdum.edu,Slovakia,1,47.78972925,59139.2108,4630.544424,473845.8546,45058.8969,.edu,EASTERN EUROPE                     ,5439448,48845,111.4,0.0,0.3,7.41,13300.0,0.0,220.1,30.16,2.62,67.22,3.0,10.65,9.45,0.035,0.294,0.672
65,Quinlan Harris,libero.nec@adipiscing.org,Kiribati,1,56.04151533,67015.19372,13000.41369,355157.6417,52991.52667,.org,OCEANIA                            ,105432,811,130.0,140.94,0.0,48.52,800.0,0.0,42.7,2.74,50.68,46.58,2.0,30.65,8.26,0.089,0.242,0.668
66,Hedley Greene,eleifend@felis.org,United States,0,46.96078061,69157.4521,15791.61176,506986.9824,50958.08115,.org,NORTHERN AMERICA                   ,298444215,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,3.0,14.14,8.26,0.01,0.204,0.787
67,Orson Kirby,cursus@nectellus.co.uk,Puerto Rico,1,53.3541878,50867.94007,16732.30638,344916.1768,41357.17897,.co.uk,LATIN AMER. & CARIB    ,3927188,13790,284.8,3.63,-1.46,8.24,16800.0,94.1,283.1,3.95,5.52,90.53,2.0,12.77,7.65,0.01,0.45,0.54
68,Adria Mathis,Aliquam.rutrum.lorem@Donec.net,Guinea,1,56.51952929,53450.90036,8740.723093,309113.0627,44434.71917,.net,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401
69,Peter Stout,dictum.mi.ac@semperrutrumFusce.com,Guam,0,39.1476732,70463.99084,10059.55406,278799.6958,38502.42392,.com,OCEANIA                            ,171019,541,316.1,23.2,0.0,6.94,21000.0,99.0,492.0,9.09,16.36,74.55,2.0,18.79,4.48,0.0,0.0,0.0
70,Cleo Moore,pede.et@Sedeu.com,China,0,45.22565147,52697.15192,861.8166529,540805.494,41221.24918,.com,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
71,Cally Montoya,sit@pedeCum.ca,Sierra Leone,1,33.02638894,71055.41924,6147.918843,441527.0144,38399.46139,.ca,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,2.0,45.76,23.03,0.49,0.31,0.21
72,Abel Stanton,eu.lacus.Quisque@congue.edu,Ecuador,1,39.71715527,48567.07462,9724.031647,407401.3776,30394.82494,.edu,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,0.312,0.618
73,Reed Roman,laoreet.libero@laoreetlectus.com,Anguilla,0,39.90467755,69506.62127,5449.471997,409293.2658,42384.05128,.com,LATIN AMER. & CARIB    ,13477,102,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,2.0,14.17,5.34,0.04,0.18,0.78
74,September Puckett,tincidunt@consequatpurusMaecenas.net,Kazakhstan,1,36.72080894,69453.71659,9565.830875,386128.1333,39002.0771,.net,C.W. OF IND. STATES ,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547
75,Teegan Barr,non.lorem.vitae@eratVivamus.org,Jersey,1,40.17883971,36929.35124,9719.192898,245664.3652,19553.2739,.org,WESTERN EUROPE                     ,91084,116,785.2,60.34,2.76,5.24,24800.0,0.0,811.3,0.0,0.0,100.0,3.0,9.3,9.28,0.05,0.02,0.93
76,Alexander York,eu.odio.Phasellus@ipsumporta.edu,Ecuador,1,44.48691527,63087.95261,11024.02643,496856.4912,45167.32542,.edu,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,0.312,0.618
77,Jared Green,laoreet@sagittis.edu,Macau,0,43.42751716,50889.34054,11041.17891,448601.9484,36019.9556,.edu,ASIA (EX. NEAR EAST)         ,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.001,0.072,0.927
78,Eagan Woodward,varius.et@Maecenas.edu,Indonesia,1,58.42573253,58065.25694,4204.920492,388498.5102,50937.93844,.edu,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408
79,Ferdinand Weber,metus.Vivamus@vitaeposuere.org,Suriname,1,32.09408141,20000.0,14261.80773,579181.6552,12895.71468,.org,LATIN AMER. & CARIB    ,439117,163270,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,2.0,18.02,7.27,0.13,0.22,0.65
80,Kitra Kerr,scelerisque@Vivamusnon.co.uk,Palau,1,49.95601436,60536.20406,8244.470226,173079.1798,38955.21919,.co.uk,OCEANIA                            ,20579,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,0.062,0.12,0.818
81,Desirae Stone,Morbi.sit@Aliquamfringilla.ca,Ghana,1,58.61073311,50667.69759,9871.403591,536665.0464,51221.04249,.ca,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,0.366,0.246,0.387
82,Len Phillips,libero.lacus@Suspendisseseddolor.net,Cameroon,1,42.37110355,44376.62221,13865.09055,259049.2824,25971.95673,.net,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
83,Martina Fuentes,elit@nequeIn.com,Senegal,1,53.22984863,70896.72853,11794.73914,398746.8458,54075.12064,.com,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2.0,32.78,9.42,0.172,0.209,0.619
84,Ariana Nash,vel.turpis.Aliquam@consequatpurus.edu,Central African Rep.,1,46.69611835,56009.73073,11030.2654,391848.6041,40004.87142,.edu,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,3.1,0.14,96.76,2.0,33.91,18.65,0.55,0.2,0.25
85,Glenna Graham,sodales@maurisSuspendisse.com,Bolivia,0,46.24573524,90556.62686,13872.5667,479586.9387,61593.52058,.com,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52
